"sub","mapped_any","status_known","status","ts","decompiled_path"
"sub_413f50","yes","yes","🟡","частично `TreeSection` / `branchingDispatcherSub417F40","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413F50.c"
"sub_414270","yes","yes","🟡","логика через `processDetachFlags","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414270.c"
"sub_4142b0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4142B0.c"
"sub_4143e0","yes","yes","🟡 (~75%)","growth/perFramePhysicsSub4143E0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4143E0.c"
"sub_4146f0","yes","yes","🟡 (~85%)","growth/transformChainSub450BD0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4146F0.c"
"sub_414870","yes","yes","🟡 (~85%)","growth/perFramePhysicsSub4143E0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414870.c"
"sub_414a70","yes","yes","🟡 (~80%)","growth/perFramePhysicsSub4143E0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414A70.c"
"sub_414bb0","yes","yes","🟡 (~80%)","growth/perFramePhysicsSub4143E0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414BB0.c"
"sub_414ce0","yes","yes","🟡 (~70%)","growth/sub414CE0.ts`, `GrowthFramePipeline.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414CE0.c"
"sub_414e10","yes","yes","🟡 (~78%)","growth/sub414E10.ts`, `growth/virtualSlot36.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414E10.c"
"sub_414ff0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_414FF0.c"
"sub_415020","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_415020.c"
"sub_4151b0","yes","yes","🟡 (~85%)","growth/materialCurveSub4151B0.ts`, `SectionColorService.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4151B0.c"
"sub_4153d0","yes","yes","🟡 (~85%)","world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4153D0.c"
"sub_415440","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_415440.c"
"sub_415470","yes","yes","✅","growth/branchingDispatcherSub417F40.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_415470.c"
"sub_4154b0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4154B0.c"
"sub_4155a0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4155A0.c"
"sub_415650","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_415650.c"
"sub_4157c0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4157C0.c"
"sub_415800","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_415800.c"
